price,H_tot,pool_hash,total_hash,pct_active,pct_pool,price_regime,network_hash_regime,txfee_regime
60000,200000000.0,300000000.0,7242.0,0.0225,0.0225,Low,Low,Low
60000,200000000.0,300000000.0,7378.0,0.02,0.0175,Low,Low,Low
60000,200000000.0,300000000.0,8327.0,0.0175,0.0175,Low,Low,Low
60000,200000000.0,300000000.0,7254.0,0.0175,0.015,Low,Low,Low
60000,200000000.0,300000000.0,10719.0,0.025,0.025,Low,Low,Low
60000,200000000.0,300000000.0,11155.0,0.0175,0.0175,Low,Low,Low
60000,200000000.0,300000000.0,9483.0,0.025,0.025,Low,Low,Low
60000,200000000.0,300000000.0,15965.0,0.0275,0.0275,Low,Low,Low
60000,200000000.0,300000000.0,4802.0,0.0125,0.0125,Low,Low,Low
60000,200000000.0,300000000.0,4941.0,0.0125,0.0125,Low,Low,Low
60000,200000000.0,300000000.0,4810.0,0.0175,0.0175,Low,Low,Low
60000,200000000.0,300000000.0,8325.0,0.015,0.015,Low,Low,Low
60000,200000000.0,300000000.0,12650.0,0.0275,0.0275,Low,Low,Low
60000,200000000.0,300000000.0,7884.0,0.0225,0.0225,Low,Low,Low
60000,200000000.0,300000000.0,8077.0,0.015,0.015,Low,Low,Low
60000,200000000.0,300000000.0,10836.0,0.0275,0.0275,Low,Low,Low
60000,200000000.0,300000000.0,12391.0,0.025,0.025,Low,Low,Low
60000,200000000.0,300000000.0,7560.0,0.03,0.03,Low,Low,Low
60000,200000000.0,300000000.0,7578.0,0.02,0.02,Low,Low,Low
60000,200000000.0,300000000.0,7904.0,0.0275,0.0275,Low,Low,Low
60000,200000000.0,300000000.0,4306.0,0.0175,0.015,Low,Low,Low
60000,200000000.0,300000000.0,5170.0,0.0125,0.0125,Low,Low,Low
60000,200000000.0,300000000.0,9123.0,0.0275,0.025,Low,Low,Low
60000,200000000.0,300000000.0,7116.0,0.015,0.0125,Low,Low,Low
60000,200000000.0,300000000.0,9424.0,0.0175,0.0175,Low,Low,Low
60000,200000000.0,300000000.0,7007.0,0.0225,0.02,Low,Low,Low
60000,200000000.0,300000000.0,12616.0,0.0225,0.0225,Low,Low,Low
60000,200000000.0,300000000.0,11257.0,0.0175,0.0175,Low,Low,Low
60000,200000000.0,300000000.0,6547.0,0.0125,0.0125,Low,Low,Low
